Timestamp,Classification,Accuracy
2023-01-31 01:54:03,Vehicle,5.86
2023-01-31 01:54:06,Synthesizer,33.2
2023-01-31 01:54:07,Noise,19.92
2023-01-31 01:54:11,Synthesizer,41.41
2023-01-31 01:54:12,Cacophony,19.92
2023-01-31 01:54:15,"Inside, small room",8.2
2023-01-31 01:54:16,Cacophony,19.92
2023-01-31 01:54:19,Speech,3.12
2023-01-31 01:54:20,Cacophony,41.41
2023-01-31 01:54:21,Speech,3.12
2023-01-31 01:54:24,Music,3.12
2023-01-31 01:54:25,Cacophony,26.17
2023-01-31 01:54:28,"Inside, small room",8.2
2023-01-31 01:54:29,"Inside, small room",8.2
2023-01-31 01:54:32,"Inside, small room",8.2
2023-01-31 01:54:33,Cacophony,26.17
2023-01-31 01:54:36,"Inside, small room",4.3
2023-01-31 01:54:37,Cacophony,5.86
2023-01-31 01:54:41,Synthesizer,10.94
2023-01-31 01:54:42,White noise,14.84
2023-01-31 01:54:45,Synthesizer,10.94
2023-01-31 01:54:46,Noise,19.92
2023-01-31 01:54:49,Synthesizer,19.92
2023-01-31 01:54:50,Synthesizer,5.86
2023-01-31 01:54:54,"Inside, small room",10.94
2023-01-31 01:54:55,Speech,8.2
2023-01-31 01:54:57,"Inside, small room",4.3
2023-01-31 01:54:58,Cacophony,8.2
2023-01-31 01:55:01,Synthesizer,10.94
2023-01-31 01:55:02,Noise,4.3
2023-01-31 01:55:06,Synthesizer,14.84
2023-01-31 01:55:07,Cacophony,33.2
2023-01-31 01:55:10,Cat,14.84
2023-01-31 01:55:11,Noise,14.84
2023-01-31 01:55:14,"Inside, small room",8.2
2023-01-31 01:55:15,Speech,4.3
2023-01-31 01:55:18,"Inside, small room",5.86
2023-01-31 01:55:19,Music,4.3
2023-01-31 01:55:22,Synthesizer,26.17
2023-01-31 01:55:23,Speech,5.86
2023-01-31 01:55:26,Music,4.3
2023-01-31 01:55:27,Speech,5.86
2023-01-31 01:55:29,"Inside, small room",5.86
2023-01-31 01:55:30,Cacophony,14.84
2023-01-31 01:55:33,Speech,5.86
2023-01-31 01:55:34,Synthesizer,8.2
2023-01-31 01:55:36,Speech,5.86
2023-01-31 01:55:38,Speech,4.3
2023-01-31 01:55:39,Speech,4.3
2023-01-31 01:55:41,Vehicle,5.86
2023-01-31 01:55:42,Speech,5.86
2023-01-31 01:55:44,"Inside, small room",8.2
2023-01-31 01:55:45,Noise,26.17
2023-01-31 01:55:48,"Inside, small room",5.86
2023-01-31 01:55:49,Cacophony,8.2
2023-01-31 01:55:53,"Inside, small room",10.94
2023-01-31 01:55:54,Cacophony,5.86
2023-01-31 01:55:57,Synthesizer,14.84
2023-01-31 01:55:58,Synthesizer,10.94
2023-01-31 01:56:01,Synthesizer,19.92
2023-01-31 01:56:02,Cacophony,5.86
2023-01-31 01:56:06,"Inside, small room",10.94
2023-01-31 01:56:07,Speech,3.12
2023-01-31 01:56:09,Cat,4.3
2023-01-31 01:56:10,"Inside, small room",4.3
2023-01-31 01:56:13,Synthesizer,33.2
2023-01-31 01:56:14,"Inside, small room",5.86
2023-01-31 01:56:18,Synthesizer,5.86
2023-01-31 01:56:19,Cacophony,8.2
2023-01-31 01:56:22,White noise,5.86
2023-01-31 01:56:23,Microwave oven,5.86
2023-01-31 01:56:26,Sound effect,4.3
2023-01-31 01:56:27,Vehicle,5.86
2023-01-31 01:56:30,Synthesizer,58.59
2023-01-31 01:56:32,"Inside, small room",3.12
2023-01-31 01:56:35,"Domestic animals, pets",10.94
2023-01-31 01:56:36,White noise,8.2
2023-01-31 01:56:39,Synthesizer,10.94
2023-01-31 01:56:40,White noise,5.86
2023-01-31 01:56:43,Microwave oven,5.86
2023-01-31 01:56:44,Synthesizer,26.17
2023-01-31 01:56:48,Vehicle,3.12
2023-01-31 01:56:49,Speech,8.2
2023-01-31 01:56:51,Cacophony,5.86
2023-01-31 01:56:52,Noise,10.94
2023-01-31 01:56:55,Vehicle,5.86
2023-01-31 01:56:57,Speech,5.86
2023-01-31 01:56:59,"Inside, small room",8.2
2023-01-31 01:57:00,"Inside, small room",5.86
2023-01-31 01:57:03,Speech,5.86
2023-01-31 01:57:04,Music,5.86
2023-01-31 01:57:05,Speech,8.2
2023-01-31 01:57:08,Speech,3.12
2023-01-31 01:57:09,White noise,4.3
2023-01-31 01:57:10,Cacophony,14.84
2023-01-31 01:57:13,"Inside, small room",10.94
2023-01-31 01:57:14,Speech,5.86
2023-01-31 01:57:17,Speech,5.86
2023-01-31 01:57:18,Cat,8.2
2023-01-31 01:57:19,Speech,5.86
2023-01-31 01:57:21,"Inside, small room",5.86
2023-01-31 01:57:22,Speech,5.86
2023-01-31 01:57:25,Speech,5.86
2023-01-31 01:57:26,Microwave oven,5.86
2023-01-31 01:57:27,Speech,19.92
2023-01-31 01:57:29,"Inside, small room",8.2
2023-01-31 01:57:31,Synthesizer,14.84
2023-01-31 01:57:34,"Inside, small room",5.86
2023-01-31 01:57:35,"Inside, small room",5.86
2023-01-31 01:57:38,"Inside, small room",8.2
2023-01-31 01:57:39,"Inside, small room",4.3
2023-01-31 01:57:42,"Inside, small room",5.86
2023-01-31 01:57:44,Speech,3.12
2023-01-31 01:57:46,Vehicle,8.2
2023-01-31 01:57:47,"Inside, small room",4.3
2023-01-31 01:57:50,Cat,10.94
2023-01-31 01:57:51,Speech,4.3
2023-01-31 01:57:54,Cat,10.94
2023-01-31 01:57:55,Speech,4.3
2023-01-31 01:57:57,"Inside, small room",5.86
2023-01-31 01:57:58,Synthesizer,19.92
2023-01-31 01:58:01,"Inside, small room",10.94
2023-01-31 01:58:02,Speech,4.3
2023-01-31 01:58:05,"Inside, small room",5.86
2023-01-31 01:58:06,Noise,5.86
2023-01-31 01:58:09,Synthesizer,10.94
2023-01-31 01:58:10,Noise,5.86
2023-01-31 01:58:13,Synthesizer,8.2
2023-01-31 01:58:14,Speech,3.12
2023-01-31 01:58:17,Speech,5.86
2023-01-31 01:58:18,Vehicle,4.3
2023-01-31 01:58:19,Speech,5.86
